X_COORD	Y_COORD
143.5523682	-10.89570427
144.0180969	-10.92669582
143.5727692	-10.91156006
144.0181427	-10.98606586
144.0129089	-11.00776577
144.013092	-11.01794815
143.9950409	-11.01778316
143.3648987	-10.99041271
143.2948914	-10.98697853
143.5341187	-10.91361904
143.663208	-10.90422535
143.7573395	-10.89969254
143.0996399	-11.17448425
142.8783417	-11.78083801
142.9927368	-11.00683498
142.7554627	-11.02495193
142.7832489	-11.0704155
142.8113251	-11.18551826
142.8123169	-11.19433308
142.8240051	-11.23168468
142.818985	-11.24888897
142.8725128	-11.2572403
142.9289398	-11.24986839
142.8287201	-11.29018688
142.8309326	-11.29393196
142.9653778	-11.3848238
142.9353027	-11.43494606
142.8412018	-11.42433834
143.3795166	-11.03877735
143.3709564	-11.05878925
143.242691	-11.02305126
143.3335266	-11.02789688
143.3564301	-11.0323143
143.4737396	-11.02850151
143.4676361	-11.04762936
143.4022369	-11.07457256
143.319809	-11.07910061
143.0908356	-11.06997013
143.0284576	-11.11662197
143.0005646	-11.12924671
143.4940643	-11.10666275
143.2529144	-11.12877846
143.4412689	-11.1438036
143.2229157	-11.1421051
142.8562775	-11.79974651
143.4215088	-11.1607399
143.3933106	-11.184021
143.393692	-11.20446301
143.9807892	-11.30926514
143.3354645	-11.36095428
143.0353394	-11.38516045
143.8581238	-11.48993874
143.1606445	-11.37728596
143.0731659	-11.37047768
143.0701447	-11.38962555
142.9365387	-11.79674053
143.1651764	-11.43404198
142.9001617	-11.80533791
142.8960266	-11.82666588
143.042038	-11.45389843
143.030838	-11.18211842
143.2688294	-11.95176506
143.1975708	-11.18444061
143.3180695	-11.21540451
143.0007172	-11.2432394
143.2571411	-11.24144936
143.126297	-11.31913948
143.1496887	-11.27138233
143.034195	-11.28863144
143.0461884	-11.28736115
143.2710724	-11.96063519
143.1962738	-11.29498386
143.2812958	-11.29741383
143.485199	-11.27064514
143.1277771	-11.34162426
143.9954834	-11.28264427
144.0057831	-11.28243065
143.9963226	-11.29488564
143.9792328	-11.29531193
143.5427704	-11.25432873
143.4012299	-11.50461769
143.378006	-11.46033001
143.2701111	-11.46175861
143.2649841	-11.80193138
143.0092926	-11.80706882
143.3099213	-11.39694595
144.0173187	-11.03934193
143.438858	-11.4305315
143.1247101	-11.46813583
143.3633118	-11.82064915
143.156723	-11.4719553
143.0751495	-11.48204327
143.4991913	-10.97768879
143.0406494	-11.48878002
143.0287628	-11.4979887
144.0223846	-11.04900837
143.589386	-11.01596832
143.6618042	-11.09492207
143.7982025	-11.31483746
143.584259	-11.15118408
143.6946564	-11.15713024
143.6751404	-11.25258923
143.8192139	-11.25566387
143.53479	-11.14823914
143.588913	-11.20730495
143.7147827	-11.19242096
143.6365509	-11.47353363
143.707489	-11.46648026
143.9284363	-11.47588158
144.0179291	-11.47539711
